x,y,z,Type,State,extra
57,41,7,1,7,0|1407|47372011|9
92,89,3,1,7,0|539|47594724|9
68,7,1,1,7,0|26811|47476823|9
2,5,8,1,7,0|410|47324288|9
5,75,7,1,7,0|20125|47451977|9
31,48,5,1,7,0|1109|47554457|9
2,14,2,1,7,0|568|47324276|9
0,5,10,1,7,0|1545|47329006|9
11,9,10,1,7,0|2142|47549949|9
21,103,11,1,6,0|13441|13|0
31,32,15,1,7,0|6675|47344830|9
12,61,2,1,7,0|91481|47621871|9
78,84,11,1,7,0|25033|47498885|9
58,47,8,1,7,0|5574|47364199|9
54,73,16,1,7,0|8568|47530866|9
23,83,4,1,7,0|1620|47417547|9
74,89,3,1,7,0|24034|47447939|9
2,56,0,1,7,0|3020|47344492|9
144,61,8,1,7,0|3414|47622663|9
0,64,18,1,7,0|2183|47358103|9
75,35,11,1,7,0|47378|47605601|9
6,41,10,1,7,0|10002|47406259|9
32,55,6,1,7,0|10758|47378519|9
32,102,12,1,7,0|2929|47482552|9
85,7,4,1,7,0|10946|47537547|9
4,87,10,1,7,0|14138|47404869|9
78,15,0,1,7,0|4012|47621228|9
14,47,7,1,7,0|23478|47472694|9
5,7,12,1,7,0|9476|47511341|9
83,47,6,1,7,0|17581|47548418|9
6,7,13,1,7,0|308|47510395|9
59,48,13,1,7,0|53280|47585439|9
62,22,3,1,7,0|27773|47474365|9
26,42,11,1,7,0|9549|47443646|9
46,8,8,1,7,0|1803|47346293|9
61,41,4,1,7,0|17706|47397611|9
70,6,1,1,7,0|38896|47494617|9
54,23,15,1,7,0|10233|47354450|9
104,52,14,1,7,0|6493|47397467|9
56,46,7,1,7,0|12693|47474365|9
14,100,2,1,7,0|8856|47557650|9
52,97,3,1,7,0|12503|47487939|9
57,56,1,1,7,0|25964|47479672|9
3,3,3,1,7,0|5256|47364068|9
5,16,15,1,7,0|7592|47424278|9
159,24,14,2,5,0
55,11,4,1,7,0|2763|47516614|9
31,76,9,1,7,0|7620|47351546|9
0,15,0,1,7,0|215|6455553|9
69,54,11,1,7,0|4372|47346663|9
56,99,7,1,7,0|14888|47625790|9
17,55,1,1,7,0|1134|47490829|9
24,63,0,1,7,0|4163|47509868|9
18,28,0,1,7,0|963|47438006|9
27,67,16,1,7,0|12917|47477075|9
40,43,19,1,7,0|12041|47612731|9
32,47,4,1,7,0|1545|47632758|9
49,51,10,1,7,0|27960|47557897|9
39,70,7,1,7,0|6870|47469222|9
